"formatted_address","type","tot","lat","lon"
"Manhattan, New York, NY, USA","sublocality_level_1",6919,40.7902780,-73.9597220
"Brooklyn, NY, USA","sublocality_level_1",3782,40.6781784,-73.9441579
"Broadway, New York, NY, USA","route",3395,40.8660644,-73.9258900
"5th Avenue, New York, NY, USA","route",1836,40.7318461,-73.9966758
"Central Park, New York, NY, USA","park",1687,40.7828647,-73.9653551
"Harlem, New York, NY, USA","neighborhood",1497,40.8115504,-73.9464769
"Queens, NY, USA","sublocality_level_1",1292,40.7500000,-73.8666670
"Columbia University, 116th St, New York, NY 10027, USA","university",1158,40.8075355,-73.9625727
"Chinatown, New York, NY, USA","neighborhood",1157,40.7157509,-73.9970307
"Park Avenue, New York, NY, USA","route",769,40.8024409,-73.9407654
"Times Square, Manhattan, NY 10036, USA","point_of_interest",699,40.7588950,-73.9851310
"Bellevue Hospital Center, 462 1st Avenue, New York, NY 10016, USA","hospital",683,40.7385593,-73.9754061
"Madison Avenue, New York, NY, USA","route",635,40.7408681,-73.9879841
"Hudson Street, New York, NY, USA","route",629,40.7281277,-74.0072268
"7th Avenue, New York, NY, USA","route",601,40.7516796,-73.9901898
"Greenwich Village, New York, NY, USA","neighborhood",568,40.7335719,-74.0027418
"Coney Island, Brooklyn, NY, USA","neighborhood",457,40.5749261,-73.9859414
"SoHo, New York, NY, USA","neighborhood",434,40.7233010,-74.0029883
"Lower East Side, New York, NY, USA","neighborhood",427,40.7150330,-73.9842724
"Frederick Douglass Boulevard, New York, NY, USA","route",379,40.8165192,-73.9465432
"Staten Island, NY, USA","sublocality_level_1",372,40.5795317,-74.1502007
"Empire State Building, 350 5th Avenue, New York, NY 10118, USA","point_of_interest",352,40.7484405,-73.9856644
"Nassau Street, New York, NY, USA","route",336,40.7095131,-74.0084368
"Varick Street, New York, NY, USA","route",330,40.7238145,-74.0061235
"Lexington Avenue, New York, NY, USA","route",312,40.7730080,-73.9603200
"Riverside Drive, New York, NY, USA","route",300,40.8159852,-73.9622972
"LaGuardia Airport (LGA), Queens, NY 11371, USA","airport",272,40.7769271,-73.8739659
"Williamsburg, Brooklyn, NY, USA","neighborhood",270,40.7081156,-73.9570696
"Brooklyn Bridge, Brooklyn Bridge, New York, NY 10038, USA","point_of_interest",249,40.7060855,-73.9968643
"9th Avenue, New York, NY, USA","route",242,39.1110641,-84.4729347
"Chelsea, New York, NY, USA","neighborhood",213,40.7465004,-74.0013737
"West End Avenue, New York, NY, USA","route",179,40.7869410,-73.9792880
"Hester Street, New York, NY, USA","route",178,40.7169698,-73.9944555
"Wall Street, New York, NY, USA","route",176,40.7060081,-74.0088151
