placeid,admin_1,admin_2,colloquial_area,continent,country,formatted_address,lat,locality,location_type,lon,natural_feature,partial,point_of_interest
ChIJ-Y7t-qm02IcRW-C7IsrqOb4,Missouri,,,,United States,"St. Louis, MO, USA",38.6270025,St. Louis,locality,-90.19940419999999,,False,
ChIJ-bDD5__lhVQRuvNfbGh4QpQ,Washington,,,,United States,"Washington, USA",47.7510741,,administrative_area_level_1,-120.7401386,,False,
ChIJ-yRniZpWPEURE_YRZvj9CRQ,,,,,Russia,Russia,61.52401,,country,105.318756,,False,
ChIJ04aKwIQr44cRR3GjJsYevrQ,Iowa,Dubuque County,,,United States,"Dubuque, IA, USA",42.5005583,Dubuque,locality,-90.66457179999999,,False,
ChIJ07-FWN8RiYgRzlS66gl0UCU,Alabama,Jefferson County,,,United States,"Birmingham, AL, USA",33.5206608,Birmingham,locality,-86.80248999999999,,False,
ChIJ1YpTHd4dsEwR0KggZ2_MedY,Maine,,,,United States,"Maine, USA",45.253783,,administrative_area_level_1,-69.4454689,,False,
ChIJ1fWMlApsoBARs_CQnslwghA,,,,Africa,,Africa,-8.783195,,continent,34.508523,,False,
ChIJ2WrMN9MDDUsRpY9Doiq3aJk,,,,,Canada,Canada,56.130366,,country,-106.346771,,False,
ChIJ2_UmUkxNekgRZRtGDNF9SbU,England,Lancashire,,,United Kingdom,"Lancashire, UK",53.7632254,,administrative_area_level_2,-2.7044052,,False,
ChIJ2_UmUkxNekgRqmv-BDgUvtk,England,Greater Manchester,,,United Kingdom,"Manchester, UK",53.4807593,Manchester,locality,-2.2426305,,False,
ChIJ2wRSV9G6j4ARxRAjnwkScEg,California,Santa Clara County,,,United States,"Mars, 553 Mayfield Ave, Stanford, CA 94305, USA",37.4226924,Stanford,premise,-122.1686033,,False,
ChIJ34SdjjvVcYgRLAhJzsB3Fas,Indiana,Vanderburgh County,,,United States,"401 SE 6th St #001, Evansville, IN 47713, USA",37.9682036,Evansville,establishment,-87.5669144,,False,
ChIJ39UebIqp0EcRqI4tMyWV4fQ,England,,,,United Kingdom,"England, UK",52.3555177,,administrative_area_level_1,-1.1743197,,False,
ChIJ3S_FDRIX44kRYCRqrOx3OFA,Massachusetts,Essex County,,,United States,"Wenham, MA, USA",42.604261,Wenham,locality,-70.8911612,,False,
ChIJ3xjvH7NN5YcRGOs8-41AWeg,Iowa,Black Hawk County,,,United States,"Waterloo, IA, USA",42.492786,Waterloo,locality,-92.34257749999999,,False,
ChIJ4V4QFqQsDogR70KPar1JHQw,Illinois,Cook County,,,United States,"Michigan Avenue, Chicago, IL, USA",41.8426866,Chicago,route,-87.6233252,,False,
ChIJ4WQptXaz7IcR2ESOgjwoSsg,Iowa,Cass County,,,United States,"Atlantic, IA 50022, USA",41.4036007,Atlantic,locality,-95.0138776,,False,
ChIJ4bikyX8QdkgRa--QlKo4yE8,England,Greater London,,,United Kingdom,"Hampstead, London NW3, UK",51.5556461,,neighborhood,-0.1761749,,False,
ChIJ4zGFAZpYwokRGUGph3Mf37k,New York,New York County,,,United States,"Central Park, New York, NY 10024, USA",40.7828647,New York,establishment,-73.9653551,,False,
ChIJ50eLV9cCBYgRhHtBtSIZX0Q,Wisconsin,Milwaukee County,,,United States,"Milwaukee, WI, USA",43.0389025,Milwaukee,locality,-87.9064736,,False,
ChIJ5TlJmNBEyoARHhyh-PIHF1M,Utah,Washington County,,,United States,"St George, UT, USA",37.0965278,St. George,locality,-113.5684164,,False,
ChIJ5Tvr7V0bdkgRyWXsGMuF8FQ,England,Greater London,,,United Kingdom,"London Borough of Islington, UK",51.5465063,,administrative_area_level_3,-0.1058058,,False,
ChIJ5aeJzT4pjEcRXu7iysk_F-s,Vaud,Lausanne District,,,Switzerland,"Lausanne, Switzerland",46.5196535,Lausanne,locality,6.6322734,,False,
ChIJ60u11Ni3xokRwVg-jNgU9Yk,Pennsylvania,Philadelphia County,,,United States,"Philadelphia, PA, USA",39.9525839,Philadelphia,locality,-75.1652215,,False,
ChIJ6TZcw3aJNhQRRMTEJQmgRSw,,,,,Egypt,Egypt,26.820553,,country,30.802498,,False,
ChIJ6_p622YIOxMRfriMZcxDOtI,Campania,Metropolitan City of Naples,,,Italy,"Naples, Italy",40.8517746,Naples,locality,14.2681244,,False,
ChIJ7Q8cbLY0ZEgRouilirxxux4,Wales,,,,United Kingdom,"Wales, UK",52.1306607,,administrative_area_level_1,-3.7837117,,False,
ChIJ7cmZVwkRsYkRxTxC4m0-2L8,Virginia,,,,United States,"Richmond, VA, USA",37.5407246,Richmond,locality,-77.4360481,,False,
ChIJ7cv00DwsDogRAMDACa2m4K8,Illinois,Cook County,,,United States,"Chicago, IL, USA",41.8781136,Chicago,locality,-87.6297982,,False,
ChIJ7fwMtciNk4cRBLY3rk9NQkY,Nebraska,Douglas County,,,United States,"Omaha, NE, USA",41.2523634,Omaha,locality,-95.99798829999999,,False,
ChIJ7fwMtciNk4cRxArzDwyQJ6E,Nebraska,,,,United States,"Nebraska, USA",41.4925374,,administrative_area_level_1,-99.9018131,,False,
ChIJ7y75-KDpXwwRb166dGfldww,Madeira,,,,Portugal,"Madeira, Portugal",32.76070740000001,,administrative_area_level_1,-16.9594723,,False,
ChIJ83WZp86p2EcRbMrkYqGncBQ,England,Greater London,,,United Kingdom,"Greenwich, London SE10, UK",51.48257659999999,,neighborhood,-0.0076589,,False,
